$ps ax

  PID TTY      STAT   TIME COMMAND
    1 ?        Ss     1:27 /sbin/init
    2 ?        S      0:00 [kthreadd]
    3 ?        I<     0:00 [rcu_gp]
    4 ?        I<     0:00 [rcu_par_gp]
    6 ?        I<     0:00 [kworker/0:0H-kblockd]
    8 ?        I<     0:00 [mm_percpu_wq]
    9 ?        S      0:06 [ksoftirqd/0]
   10 ?        I      1:24 [rcu_sched]
   11 ?        I      0:00 [rcu_bh]
   12 ?        S      0:00 [migration/0]
   14 ?        S      0:00 [cpuhp/0]
   15 ?        S      0:00 [cpuhp/1]
   16 ?        S      0:01 [migration/1]
   17 ?        S      0:02 [ksoftirqd/1]
   19 ?        I<     0:00 [kworker/1:0H-kblockd]
   20 ?        S      0:00 [cpuhp/2]
   21 ?        S      0:00 [migration/2]
   22 ?        S      0:02 [ksoftirqd/2]
   24 ?        I<     0:00 [kworker/2:0H-kblockd]
   25 ?        S      0:00 [cpuhp/3]
   26 ?        S      0:00 [migration/3]
   27 ?        S      0:02 [ksoftirqd/3]
   29 ?        I<     0:00 [kworker/3:0H-kblockd]
   30 ?        S      0:00 [kdevtmpfs]
   31 ?        I<     0:00 [netns]
   32 ?        S      0:00 [kauditd]
   33 ?        S      0:00 [khungtaskd]
   34 ?        S      0:00 [oom_reaper]
   35 ?        I<     0:00 [writeback]
   36 ?        S      0:01 [kcompactd0]
   37 ?        SN     0:00 [ksmd]
   38 ?        SN     0:02 [khugepaged]
   39 ?        I<     0:00 [crypto]
   40 ?        I<     0:00 [kintegrityd]
   41 ?        I<     0:00 [kblockd]
   45 ?        I<     0:00 [edac-poller]
   46 ?        I<     0:00 [devfreq_wq]
   47 ?        S      0:00 [watchdogd]
   48 ?        S      0:02 [kswapd0]
   66 ?        I<     0:00 [kthrotld]
   67 ?        S      0:00 [irq/28-pciehp]
   68 ?        I<     0:00 [ipv6_addrconf]
   79 ?        I<     0:00 [kstrp]
  121 ?        I<     0:00 [acpi_thermal_pm]
  154 ?        I<     0:00 [ata_sff]
  161 ?        S      0:00 [scsi_eh_0]
  162 ?        I<     0:00 [scsi_tmf_0]
  163 ?        S      0:00 [scsi_eh_1]
  164 ?        I<     0:00 [scsi_tmf_1]
  165 ?        S      0:00 [scsi_eh_2]
  166 ?        I<     0:00 [scsi_tmf_2]
  167 ?        S      0:00 [scsi_eh_3]
  168 ?        I<     0:00 [scsi_tmf_3]
  169 ?        S      0:00 [scsi_eh_4]
  170 ?        I<     0:00 [scsi_tmf_4]
  171 ?        S      0:00 [scsi_eh_5]
  172 ?        I<     0:00 [scsi_tmf_5]
  178 ?        I<     0:00 [nvkm-disp]
  180 ?        I<     0:00 [ttm_swap]
  181 ?        I<     0:00 [kworker/3:1H-kblockd]
  182 ?        I<     0:01 [kworker/2:1H-kblockd]
  189 ?        I<     0:00 [uas]
  190 ?        S      0:00 [scsi_eh_6]
  191 ?        I<     0:00 [scsi_tmf_6]
  192 ?        S      0:20 [usb-storage]
  224 ?        I<     0:01 [kworker/0:1H-kblockd]
  225 ?        I<     0:00 [kworker/1:1H-kblockd]
  379 ?        I<     0:00 [kdmflush]
  381 ?        I<     0:00 [kcryptd_io]
  384 ?        I<     0:00 [kcryptd]
  385 ?        S      0:10 [dmcrypt_write]
  397 ?        I<     0:00 [kdmflush]
  398 ?        I<     0:00 [kdmflush]
  436 ?        S      0:07 [jbd2/dm-1-8]
  437 ?        I<     0:00 [ext4-rsv-conver]
  484 ?        Ss     0:06 /lib/systemd/systemd-journald
  496 ?        Ss     0:07 /lib/systemd/systemd-udevd
  511 ?        S<     0:01 [loop0]
  533 ?        S<     0:00 [loop1]
  536 ?        S<     0:00 [loop2]
  538 ?        S<     0:00 [loop3]
  539 ?        S<     0:00 [loop4]
  540 ?        S<     0:00 [loop5]
  542 ?        S<     0:00 [loop6]
  565 ?        S<     0:00 [loop7]
  566 ?        S<     0:00 [loop8]
  573 ?        S<     0:00 [loop9]
  602 ?        I<     0:00 [cfg80211]
